a,a,a,a,b,b,g,j jagababa
 a,a,e,i,l,m,n,p penalima
 a,a,e,i,l,m,n,r marinela
 a,a,e,i,l,m,n,r minerala
 a,a,e,i,l,m,n,r namerila
 a,a,e,i,l,m,n,s namesila
 a,a,e,i,l,m,n,t naletima
 a,a,e,i,l,m,n,t nametali
 a,a,e,i,l,m,n,z izmalena
 a,a,e,i,l,m,n,z zamenila
 a,a,e,i,l,m,n,z zanimale
 a,a,e,i,l,m,n,č načelima
 a,a,e,i,l,m,n,č činelama
 a,a,e,i,l,m,n,đ anđelima
 a,a,e,i,l,m,n,š mališane
 a,a,e,i,l,m,p,r apeliram
 a,a,e,i,l,m,p,s elipsama
 a,a,e,i,l,m,p,ć palećima
 a,a,e,i,l,m,r,s laserima
 a,a,e,i,l,m,r,v limareva
 a,a,e,i,l,m,r,v velarima
 a,a,e,i,l,m,r,z realizam
 a,a,e,i,l,m,r,z realizma
 a,a,e,i,l,m,r,z zamerali
 a,a,e,i,l,m,r,z zamerila
 a,a,e,i,l,m,s,v ismevala
 a,a,e,i,l,m,s,z zamesila
 a,a,e,i,l,m,t,z zaletima
 a,a,e,i,l,m,t,z zametali
 a,a,e,i,l,m,t,ć maletića
 a,a,e,i,l,m,v,š mališeva
 a,a,e,i,l,m,v,š vešalima
 a,a,e,i,l,m,z,š izmešala
 a,a,e,i,l,n,n,r linearan
 a,a,e,i,l,n,n,r linearna
 a,a,e,i,l,n,n,v nalivena
 a,a,e,i,l,n,n,đ anđelina
 a,a,e,i,l,n,n,ž nalaženi
 a,a,e,i,l,n,p,p papaline
 a,a,e,i,l,n,p,r piralena
 a,a,e,i,l,n,p,s napisale
 a,a,e,i,l,n,p,t paletina
 a,a,e,i,l,n,p,v pelivana
 a,a,e,i,l,n,p,z zapenila
 a,a,e,i,l,n,r,s arsenali
 a,a,e,i,l,n,r,s raselina
 a,a,e,i,l,n,r,t naterali
 a,a,e,i,l,n,r,v lavirane
 a,a,e,i,l,n,r,v navirale
 a,a,e,i,l,n,r,z narezali
 a,a,e,i,l,n,r,z nazirale
 a,a,e,i,l,n,r,đ naređali
 a,a,e,i,l,n,r,š lešinara
 a,a,e,i,l,n,r,š šarenila
 a,a,e,i,l,n,s,v levinasa
 a,a,e,i,l,n,s,v salivena
 a,a,e,i,l,n,s,z zasenila
 a,a,e,i,l,n,t,t antitela
 a,a,e,i,l,n,t,t naletati
 a,a,e,i,l,n,t,v nalevati
 a,a,e,i,l,n,t,v nalivate
 a,a,e,i,l,n,t,v navalite
 a,a,e,i,l,n,t,z azilante
 a,a,e,i,l,n,t,z nalazite
 a,a,e,i,l,n,t,š našalite
 a,a,e,i,l,n,t,ž naležati
 a,a,e,i,l,n,t,ž želatina
 a,a,e,i,l,n,v,z nazivale
 a,a,e,i,l,n,v,z zalivane
 a,a,e,i,l,n,v,z zalivena
 a,a,e,i,l,n,v,ć navaliće
 a,a,e,i,l,n,v,č veličana
 a,a,e,i,l,n,v,š lišavane
 a,a,e,i,l,n,v,š navališe
 a,a,e,i,l,n,z,z iznalaze
 a,a,e,i,l,n,z,z zalizane
 a,a,e,i,l,n,z,ć nalazeći
 a,a,e,i,l,n,z,ć nalaziće
 a,a,e,i,l,n,z,đ izanđale
 a,a,e,i,l,n,z,š nalaziše
 a,a,e,i,l,n,ć,đ anđelića
 a,a,e,i,l,n,č,č čeličana
 a,a,e,i,l,n,č,š naličaše
 a,a,e,i,l,p,r,s rasipale
 a,a,e,i,l,p,r,z paralize
 a,a,e,i,l,p,r,z razapeli
 a,a,e,i,l,p,r,š parališe
 a,a,e,i,l,p,s,v ispevala
 a,a,e,i,l,p,s,z zapisale
 a,a,e,i,l,p,s,z zasipale
 a,a,e,i,l,p,t,v apelativ
 a,a,e,i,l,p,t,z zapalite
 a,a,e,i,l,p,v,z zapevali
 a,a,e,i,l,p,v,ć pavelića
 a,a,e,i,l,p,z,ć zapaliće
 a,a,e,i,l,p,z,š zapališe
 a,a,e,i,l,p,č,š pešačila
 a,a,e,i,l,r,r,ž režirala
 a,a,e,i,l,r,s,t alistera
 a,a,e,i,l,r,s,t isterala
 a,a,e,i,l,r,s,t realista
 a,a,e,i,l,r,s,t resitala
 a,a,e,i,l,r,s,t saterali
 a,a,e,i,l,r,t,t literata
 a,a,e,i,l,r,t,u laureati
 a,a,e,i,l,r,t,z zaratile
 a,a,e,i,l,r,v,z lazarevi
 a,a,e,i,l,r,v,z velizara
 a,a,e,i,l,r,v,č levičara
 a,a,e,i,l,r,v,š rešavali
 a,a,e,i,l,r,z,z izrezala
 a,a,e,i,l,r,z,z razilaze
 a,a,e,i,l,r,z,z zarazile
 a,a,e,i,l,r,z,z zazirale
 a,a,e,i,l,r,z,đ izrađale
 a,a,e,i,l,r,z,đ zaređali
 a,a,e,i,l,s,s,t asistela
 a,a,e,i,l,s,t,t saletati
 a,a,e,i,l,s,t,t satelita
 a,a,e,i,l,s,t,v salevati
 a,a,e,i,l,s,t,ž sažalite
 a,a,e,i,l,s,v,v velisava
 a,a,e,i,l,s,v,ć salevića
 a,a,e,i,l,s,ć,ž sažaliće
 a,a,e,i,l,s,š,ž sažališe
 a,a,e,i,l,s,š,ž silažaše
 a,a,e,i,l,t,t,z zaletati
 a,a,e,i,l,t,v,z zalevati
 a,a,e,i,l,t,v,z zalivate
 a,a,e,i,l,t,v,z zavalite
 a,a,e,i,l,t,v,š lišavate
 a,a,e,i,l,t,z,z zalazite
 a,a,e,i,l,t,z,z zatezali
 a,a,e,i,l,t,z,ć lazetića
 a,a,e,i,l,t,z,ž zažalite
 a,a,e,i,l,v,v,z vezivala
 a,a,e,i,l,v,z,z izazvale
 a,a,e,i,l,v,z,z zavezali
 a,a,e,i,l,v,z,ž izležava
 a,a,e,i,l,v,z,ž zaživela
 a,a,e,i,l,v,ć,đ lađevića
 a,a,e,i,l,z,z,ć zalazeći
 a,a,e,i,l,z,ć,ž zažaliće
 a,a,e,i,l,z,š,ž izlažaše
 a,a,e,i,m,m,n,r ramenima
 a,a,e,i,m,m,n,t namamite
 a,a,e,i,m,m,n,t nametima
 a,a,e,i,m,m,n,z izmenama
 a,a,e,i,m,m,n,š mešinama
 a,a,e,i,m,m,p,r amperima
 a,a,e,i,m,m,r,s mesarima
 a,a,e,i,m,m,r,č meračima
 a,a,e,i,m,m,v,č mačevima
 a,a,e,i,m,m,đ,š međašima
 a,a,e,i,m,n,n,r namirena
 a,a,e,i,m,n,n,t nametani
 a,a,e,i,m,n,n,z anamnezi
 a,a,e,i,m,n,n,ć nemanića
 a,a,e,i,m,n,n,č anemičan
 a,a,e,i,m,n,o,p apoenima
 a,a,e,i,m,n,p,r perinama
 a,a,e,i,m,n,p,v napevima
 a,a,e,i,m,n,p,ć pećinama
 a,a,e,i,m,n,r,r armirane
 a,a,e,i,m,n,r,s seminara
 a,a,e,i,m,n,r,s sirenama
 a,a,e,i,m,n,r,t materina
 a,a,e,i,m,n,r,t minareta
 a,a,e,i,m,n,r,t miterana
 a,a,e,i,m,n,r,z zanemari
 a,a,e,i,m,n,r,ć marenića
 a,a,e,i,m,n,r,š šarenima
 a,a,e,i,m,n,s,v ismevana
 a,a,e,i,m,n,t,t nametati
 a,a,e,i,m,n,t,t tamanite
 a,a,e,i,m,n,t,v avetnima
 a,a,e,i,m,n,t,z nazimeta
 a,a,e,i,m,n,t,z zanimate
 a,a,e,i,m,n,t,ž namažite
 a,a,e,i,m,n,t,ž težinama
 a,a,e,i,m,n,v,z vezanima
 a,a,e,i,m,n,v,š mešavina
 a,a,e,i,m,n,z,š izmešana
 a,a,e,i,m,p,r,č peračima
 a,a,e,i,m,p,t,č pečatima
 a,a,e,i,m,p,v,ć ćevapima
 a,a,e,i,m,p,v,č pevačima
 a,a,e,i,m,r,r,z ramireza
 a,a,e,i,m,r,s,ć ćesarima
 a,a,e,i,m,r,t,t teatrima
 a,a,e,i,m,r,t,z zamerati
 a,a,e,i,m,r,t,ć maretića
 a,a,e,i,m,r,t,č matičare
 a,a,e,i,m,r,t,ž ermitaža
 a,a,e,i,m,r,v,ć marićeva
 a,a,e,i,m,r,v,ć ramićeva
 a,a,e,i,m,r,z,z zarezima
 a,a,e,i,m,r,z,š zamiraše
 a,a,e,i,m,s,t,t atestima
 a,a,e,i,m,s,t,v savetima
 a,a,e,i,m,s,v,z savezima
 a,a,e,i,m,t,t,v tetivama
 a,a,e,i,m,t,t,z etatizam
 a,a,e,i,m,t,t,z etatizma
 a,a,e,i,m,t,t,z zametati
 a,a,e,i,m,t,v,z atavizme
 a,a,e,i,m,t,v,z zavetima
 a,a,e,i,m,t,v,ć matićeva
 a,a,e,i,m,t,v,č mačevati
 a,a,e,i,m,t,z,š zamešati
 a,a,e,i,m,v,ć,ž važećima
 a,a,e,i,n,n,n,z nanizane
 a,a,e,i,n,n,n,š nanišane
 a,a,e,i,n,n,p,s napisane
 a,a,e,i,n,n,p,s nepisana
 a,a,e,i,n,n,p,ć napaćeni
 a,a,e,i,n,n,r,s sanirane
 a,a,e,i,n,n,r,t naterani
 a,a,e,i,n,n,r,z narezani
 a,a,e,i,n,n,r,đ naređani
 a,a,e,i,n,n,s,t nenasita
 a,a,e,i,n,n,s,t satanine
 a,a,e,i,n,n,t,č nečitana
 a,a,e,i,n,n,v,z nazivane
 a,a,e,i,n,p,p,š napipaše
 a,a,e,i,n,p,r,s isparena
 a,a,e,i,n,p,r,t patareni
 a,a,e,i,n,p,r,ć pećinara
 a,a,e,i,n,p,r,č paničare
 a,a,e,i,n,p,s,v ispevana
 a,a,e,i,n,p,s,z zapisane
 a,a,e,i,n,p,s,ć napisaće
 a,a,e,i,n,p,s,š napisaše
 a,a,e,i,n,p,t,t apetitan
 a,a,e,i,n,p,t,v pavetina
 a,a,e,i,n,p,t,ć napatiće
 a,a,e,i,n,p,t,č apatične
 a,a,e,i,n,p,t,č pačetina
 a,a,e,i,n,p,t,š napatiše
 a,a,e,i,n,p,z,ž zapaženi
 a,a,e,i,n,r,r,v varirane
 a,a,e,i,n,r,r,š raširena
 a,a,e,i,n,r,r,ž režirana
 a,a,e,i,n,r,s,t inserata
 a,a,e,i,n,r,s,t isterana
 a,a,e,i,n,r,s,t rasanite
 a,a,e,i,n,r,s,t sanirate
 a,a,e,i,n,r,s,t saterani
 a,a,e,i,n,r,t,t naterati
 a,a,e,i,n,r,t,t tatarine
 a,a,e,i,n,r,t,z narezati
 a,a,e,i,n,r,t,č četinara
 a,a,e,i,n,r,t,đ naređati
 a,a,e,i,n,r,v,v vinavera
 a,a,e,i,n,r,v,đ rađevina
 a,a,e,i,n,r,v,š rešavani
 a,a,e,i,n,r,z,z izrezana
 a,a,e,i,n,r,z,đ izrađena
 a,a,e,i,n,r,z,đ zarađeni
 a,a,e,i,n,r,z,š naziraše
 a,a,e,i,n,r,z,ž izražena
 a,a,e,i,n,r,z,ž zaraženi
 a,a,e,i,n,r,ć,ć ćeranića
 a,a,e,i,n,s,s,t sineasta
 a,a,e,i,n,s,t,t saniteta
 a,a,e,i,n,s,t,ć asentića
 a,a,e,i,n,s,v,z sazivane
 a,a,e,i,n,s,v,š sašivena
 a,a,e,i,n,s,z,ć zasićena
 a,a,e,i,n,s,z,đ zasađeni
 a,a,e,i,n,t,t,t atentati
 a,a,e,i,n,t,t,u anuiteta
 a,a,e,i,n,t,t,z antiteza
 a,a,e,i,n,t,t,z natezati
 a,a,e,i,n,t,t,š našetati
 a,a,e,i,n,t,v,z nazivate
 a,a,e,i,n,t,v,z zavetina
 a,a,e,i,n,t,v,ć antićeva
 a,a,e,i,n,t,v,č vatačine
 a,a,e,i,n,v,v,z vezivana
 a,a,e,i,n,v,v,č ivančeva
 a,a,e,i,n,v,z,z izazvane
 a,a,e,i,n,v,z,z zavezani
 a,a,e,i,n,v,z,ć nazivaće
 a,a,e,i,n,v,z,đ izvađena
 a,a,e,i,n,v,z,đ zavađeni
 a,a,e,i,n,v,z,š nazivaše
 a,a,e,i,n,v,z,š zašivena
 a,a,e,i,n,č,š,š iščašena
 a,a,e,i,p,p,v,ć papićeva
 a,a,e,i,p,r,r,r reparira
 a,a,e,i,p,r,r,t parirate
 a,a,e,i,p,r,s,t rasipate
 a,a,e,i,p,r,s,t separati
 a,a,e,i,p,r,s,v pisareva
 a,a,e,i,p,r,s,ć rasipaće
 a,a,e,i,p,r,s,š rasipaše
 a,a,e,i,p,r,t,t pariteta
 a,a,e,i,p,r,t,t tapetari
 a,a,e,i,p,r,t,z parazite
 a,a,e,i,p,r,t,z razapeti
 a,a,e,i,p,r,z,ć perazića
 a,a,e,i,p,s,z,ć zapisaće
 a,a,e,i,p,s,z,š zapisaše
 a,a,e,i,p,t,t,z zapitate
 a,a,e,i,p,t,v,z zapevati
 a,a,e,i,p,t,v,z zavapite
 a,a,e,i,p,t,z,z zapazite
 a,a,e,i,p,t,z,ć zapitaće
 a,a,e,i,p,t,z,č zapečati
 a,a,e,i,p,t,z,š zapitaše
 a,a,e,i,p,v,v,ć pavićeva
 a,a,e,i,p,v,z,ć zavapiće
 a,a,e,i,p,v,z,š zavapiše
 a,a,e,i,p,v,ć,đ đapićeva
 a,a,e,i,p,v,ć,š pašićeva
 a,a,e,i,r,r,t,t rariteta
 a,a,e,i,r,r,t,v varirate
 a,a,e,i,r,r,v,ć variraće
 a,a,e,i,r,r,v,š variraše
 a,a,e,i,r,s,t,t saterati
 a,a,e,i,r,s,t,v veritasa
 a,a,e,i,r,s,t,š satiraše
 a,a,e,i,r,s,v,ć arsićeva
 a,a,e,i,r,t,v,š rešavati
 a,a,e,i,r,t,z,z zarezati
 a,a,e,i,r,t,z,đ zaređati
 a,a,e,i,r,t,z,š zaratiše
 a,a,e,i,r,t,z,š zatiraše
 a,a,e,i,r,v,z,ć zarićeva
 a,a,e,i,r,v,ć,č račićeva
 a,a,e,i,r,v,ć,š šarićeva
 a,a,e,i,r,z,z,ć zaraziće
 a,a,e,i,r,z,z,ć zaziraće
 a,a,e,i,r,z,š,ž zažariše
 a,a,e,i,r,ć,ć,š ašćerića
 a,a,e,i,s,t,v,z sazivate
 a,a,e,i,s,v,v,ć savićeva
 a,a,e,i,s,v,v,ć vasićeva
 a,a,e,i,t,t,z,z zatezati
 a,a,e,i,t,v,z,z zavezati
 a,a,e,i,v,v,ć,č čavićeva
 a,a,e,i,v,z,z,ć izazvaće
 a,a,e,i,v,z,z,š izazvaše
 a,a,e,i,v,z,č,š iščezava
 a,a,e,j,j,k,l,n kaljanje
 a,a,e,j,j,k,m,n kajanjem
 a,a,e,j,j,k,n,n njakanje
 a,a,e,j,j,k,n,u jaukanje
 a,a,e,j,j,k,n,v vajkanje
 a,a,e,j,j,l,l,v javljale
 a,a,e,j,j,l,m,n lajanjem
 a,a,e,j,j,l,n,p paljenja
 a,a,e,j,j,l,n,v javljena
 a,a,e,j,j,l,n,v valjanje
 a,a,e,j,j,l,n,š šaljenja
 a,a,e,j,j,l,n,ž žaljenja
 a,a,e,j,j,l,t,v javljate
 a,a,e,j,j,l,t,v valjajte
 a,a,e,j,j,l,v,ć javljaće
 a,a,e,j,j,l,v,š javljaše
 a,a,e,j,j,m,n,n menjanja
 a,a,e,j,j,m,n,n najmanje
 a,a,e,j,j,m,n,s smejanja
 a,a,e,j,j,m,n,v vajanjem
 a,a,e,j,j,m,n,č jačanjem
 a,a,e,j,j,m,n,č mjenjača
 a,a,e,j,j,m,n,č najjačem
 a,a,e,j,j,n,n,p penjanja
 a,a,e,j,j,n,n,s sanjanje
 a,a,e,j,j,n,n,t najtanje
 a,a,e,j,j,n,o,v jenjavao
 a,a,e,j,j,n,o,č ojačanje
 a,a,e,j,j,n,o,č očajanje
 a,a,e,j,j,n,p,s spajanje
 a,a,e,j,j,n,r,t natjeraj
 a,a,e,j,j,n,r,t trajanje
 a,a,e,j,j,n,s,t sanjajte
 a,a,e,j,j,n,s,t stajanje
 a,a,e,j,j,o,r,v jarovaje
 a,a,e,j,j,o,s,ć osjećaja
 a,a,e,j,j,o,t,č ojačajte
 a,a,e,j,j,p,s,t spajajte
 a,a,e,j,j,p,v,z zapjevaj
 a,a,e,j,k,k,l,z kazaljke
 a,a,e,j,k,k,m,n kamenjak
 a,a,e,j,k,k,n,s kaskanje
 a,a,e,j,k,k,n,s skakanje
 a,a,e,j,k,k,s,v jekavska
 a,a,e,j,k,k,š,š šajkaške
 a,a,e,j,k,l,l,p kapljale
 a,a,e,j,k,l,l,š kašljale
 a,a,e,j,k,l,l,ž ležaljka
 a,a,e,j,k,l,m,z zemljaka
 a,a,e,j,k,l,n,o okaljane
 a,a,e,j,k,l,n,p plakanje
 a,a,e,j,k,l,n,s klasanje
 a,a,e,j,k,l,n,s klesanja
 a,a,e,j,k,l,n,s laskanje
 a,a,e,j,k,l,n,s seljanka
 a,a,e,j,k,l,n,t klanjate
 a,a,e,j,k,l,n,t laktanje
 a,a,e,j,k,l,n,u ukaljane
 a,a,e,j,k,l,n,u ukenjala
 a,a,e,j,k,l,n,z zaklanje
 a,a,e,j,k,l,n,ć klanjaće
 a,a,e,j,k,l,n,ć klaćenja
 a,a,e,j,k,l,n,č klečanja
 a,a,e,j,k,l,n,đ klađenja
 a,a,e,j,k,l,n,š klanjaše
 a,a,e,j,k,l,n,š najlakše
 a,a,e,j,k,l,n,š nakašlje
 a,a,e,j,k,l,o,p pokajale
 a,a,e,j,k,l,o,s seljakao
 a,a,e,j,k,l,o,š okaljaše
 a,a,e,j,k,l,p,v pevaljka
 a,a,e,j,k,l,r,v kavaljer
 a,a,e,j,k,l,r,v kraljeva
 a,a,e,j,k,l,s,č seljačka
 a,a,e,j,k,l,v,v valjevka
 a,a,e,j,k,l,v,š vešaljka
 a,a,e,j,k,l,z,š zakašlje
 a,a,e,j,k,m,n,p kampanje
 a,a,e,j,k,m,n,r kamenjar
 a,a,e,j,k,m,n,r karanjem
 a,a,e,j,k,m,n,u maukanje
 a,a,e,j,k,m,n,u umakanje
 a,a,e,j,k,m,n,v manjkave
 a,a,e,j,k,m,n,č njemačka
 a,a,e,j,k,m,p,r pramajke
 a,a,e,j,k,m,r,z zamjerka
 a,a,e,j,k,m,s,s sajamske
 a,a,e,j,k,n,n,s sankanje
 a,a,e,j,k,n,n,t kantanje
 a,a,e,j,k,n,n,ć nećkanja
 a,a,e,j,k,n,n,ž kažnjena
 a,a,e,j,k,n,o,p okapanje
 a,a,e,j,k,n,o,t otakanje
 a,a,e,j,k,n,p,r parnjake
 a,a,e,j,k,n,p,s japanske
 a,a,e,j,k,n,p,t tapkanje
 a,a,e,j,k,n,p,š pašnjake
 a,a,e,j,k,n,r,s kresanja
 a,a,e,j,k,n,r,t kartanje
 a,a,e,j,k,n,r,t kretanja
 a,a,e,j,k,n,r,v kvarenja
 a,a,e,j,k,n,r,v varkanje
 a,a,e,j,k,n,r,ć najkraće
 a,a,e,j,k,n,r,č čarkanje
 a,a,e,j,k,n,r,ž žarnjake
 a,a,e,j,k,n,s,ć ćaskanje
 a,a,e,j,k,n,s,č senjačka
 a,a,e,j,k,n,u,z ukazanje
 a,a,e,j,k,n,u,č učenjaka
 a,a,e,j,k,n,v,ž knjaževa
 a,a,e,j,k,n,v,ž žvakanje
 a,a,e,j,k,n,z,č značajke
 a,a,e,j,k,n,č,č čačkanje
 a,a,e,j,k,o,p,ć pokajaće
 a,a,e,j,k,o,p,š pokajaše
 a,a,e,j,k,o,s,z zasjekao
 a,a,e,j,k,p,r,r prekraja
 a,a,e,j,k,p,u,z zapakuje
 a,a,e,j,k,r,s,s sarajske
 a,a,e,j,k,r,s,v vajarske
 a,a,e,j,k,r,u,z zakeraju
 a,a,e,j,k,r,v,č kravajče
 a,a,e,j,k,s,t,z zasjakte
 a,a,e,j,k,s,t,ć ćaskajte
 a,a,e,j,k,s,u,č sačekaju
 a,a,e,j,k,u,z,z zakazuje
 a,a,e,j,l,l,l,u lelujala
 a,a,e,j,l,l,u,v lelujava
 a,a,e,j,l,l,č,š češljala
 a,a,e,j,l,m,m,z zemljama
 a,a,e,j,l,m,n,r larmanje
 a,a,e,j,l,m,n,s slamanje
 a,a,e,j,l,m,n,v mevljana
 a,a,e,j,l,m,n,z zemljana
 a,a,e,j,l,m,n,ć mlaćenja
 a,a,e,j,l,m,n,đ najmlađe
 a,a,e,j,l,m,p,r prelamaj
 a,a,e,j,l,m,p,r preljama
 a,a,e,j,l,m,p,t petljama
 a,a,e,j,l,m,r,s marselja
 a,a,e,j,l,m,s,u samjuela
 a,a,e,j,l,n,n,v navaljen
 a,a,e,j,l,n,o,p opaljena
 a,a,e,j,l,n,o,v nevaljao
 a,a,e,j,l,n,p,s spaljena
 a,a,e,j,l,n,p,u upaljena
 a,a,e,j,l,n,p,z zapaljen
 a,a,e,j,l,n,p,ć plaćanje
 a,a,e,j,l,n,p,š najlepša
 a,a,e,j,l,n,p,š plašenja
 a,a,e,j,l,n,s,t sletanja
 a,a,e,j,l,n,s,t stenjala
 a,a,e,j,l,n,s,v svaljena
 a,a,e,j,l,n,s,v veslanja
 a,a,e,j,l,n,s,č slanjače
 a,a,e,j,l,n,s,đ najslađe
 a,a,e,j,l,n,s,đ nasljeđa
 a,a,e,j,l,n,t,v vlatanje
 a,a,e,j,l,n,t,č tlačenja
 a,a,e,j,l,n,u,v uvaljane
 a,a,e,j,l,n,u,ž ulaženja
 a,a,e,j,l,n,v,z zavaljen
 a,a,e,j,l,o,p,s posejala
 a,a,e,j,l,o,p,č pojačale
 a,a,e,j,l,o,r,t otjerala
 a,a,e,j,l,o,s,t ostajale
 a,a,e,j,l,o,s,v osvajale
 a,a,e,j,l,o,s,ć osjećala
 a,a,e,j,l,o,v,v vojevala
 a,a,e,j,l,o,v,š lajoševa
 a,a,e,j,l,p,t,ć plaćajte
 a,a,e,j,l,p,u,č upaljače
 a,a,e,j,l,r,t,v traljave
 a,a,e,j,l,r,t,v vatralje
 a,a,e,j,l,r,č,š češljara
 a,a,e,j,l,s,t,u ustajale
 a,a,e,j,l,s,t,z zeljasta
 a,a,e,j,l,s,u,v useljava
 a,a,e,j,l,s,u,v usvajale
 a,a,e,j,l,s,v,z zaveslaj
 a,a,e,j,l,u,v,z zalevaju
 a,a,e,j,l,z,č,š začešlja
 a,a,e,j,m,m,n,z mazanjem
 a,a,e,j,m,m,r,š marjašem
 a,a,e,j,m,n,n,r namjeran
 a,a,e,j,m,n,n,s nasmejan
 a,a,e,j,m,n,n,s smanjena
 a,a,e,j,m,n,n,u umanjena
 a,a,e,j,m,n,n,z znamenja
 a,a,e,j,m,n,o,s nasmejao
 a,a,e,j,m,n,o,t ometanja
 a,a,e,j,m,n,o,z majoneza
 a,a,e,j,m,n,p,ć pamćenja
 a,a,e,j,m,n,r,t maternja
 a,a,e,j,m,n,r,t natjeram
 a,a,e,j,m,n,r,u umaranje
 a,a,e,j,m,n,r,v varanjem
 a,a,e,j,m,n,r,z razmjena
 a,a,e,j,m,n,r,đ rađanjem
 a,a,e,j,m,n,r,š šaranjem
 a,a,e,j,m,n,s,t smetanja
 a,a,e,j,m,n,s,z saznajem
 a,a,e,j,m,n,t,u umetanja
 a,a,e,j,m,n,t,š maštanje
 a,a,e,j,m,n,t,š mještana
 a,a,e,j,m,n,t,š nameštaj
 a,a,e,j,m,n,t,š šetnjama
 a,a,e,j,m,n,t,ž težnjama
 a,a,e,j,m,n,u,z uzajamne
 a,a,e,j,m,n,u,ć nemajuća
 a,a,e,j,m,n,v,ć najvećma
 a,a,e,j,m,n,z,č zajamčen
 a,a,e,j,m,n,z,č značajem
 a,a,e,j,m,n,č,ž čežnjama
 a,a,e,j,m,o,s,z zasmejao
 a,a,e,j,m,p,r,š premašaj
 a,a,e,j,m,p,v,z zapjevam
 a,a,e,j,m,r,r,z razmjera
 a,a,e,j,m,r,s,t majstera
 a,a,e,j,m,r,s,t rastajem
 a,a,e,j,m,r,s,u samuraje
 a,a,e,j,m,r,t,v tramvaje
 a,a,e,j,m,r,u,z zameraju
 a,a,e,j,m,s,t,u sujetama
 a,a,e,j,m,s,t,v jemstava
 a,a,e,j,m,s,t,z zastajem
 a,a,e,j,m,s,t,ć stajaćem
 a,a,e,j,m,s,t,š smeštaja
 a,a,e,j,m,u,z,z zamazuje
 a,a,e,j,m,u,ć,š mešajuća
 a,a,e,j,n,n,n,z neznanja
 a,a,e,j,n,n,o,p napojena
 a,a,e,j,n,n,o,đ najađeno
 a,a,e,j,n,n,p,r nepranja
 a,a,e,j,n,n,p,r pranjane
 a,a,e,j,n,n,p,z zapanjen
 a,a,e,j,n,n,p,ž nepažnja
 a,a,e,j,n,n,r,v ravnanje
 a,a,e,j,n,n,s,t nestanja
 a,a,e,j,n,n,s,t stanjena
 a,a,e,j,n,n,s,v snevanja
 a,a,e,j,n,n,s,z saznajne
 a,a,e,j,n,n,s,z saznanje
 a,a,e,j,n,n,s,ž snaženja
 a,a,e,j,n,n,t,š šantanje
 a,a,e,j,n,n,v,č venčanja
 a,a,e,j,n,n,z,č značajne
 a,a,e,j,n,n,z,č značenja
 a,a,e,j,n,o,p,r paranoje
 a,a,e,j,n,o,p,s posejana
 a,a,e,j,n,o,p,t otapanje
 a,a,e,j,n,o,p,v opevanja
 a,a,e,j,n,o,p,v opjevana
 a,a,e,j,n,o,p,č pojačane
 a,a,e,j,n,o,p,ž opažajne
 a,a,e,j,n,o,p,ž opažanje
 a,a,e,j,n,o,r,s rasejano
 a,a,e,j,n,o,r,t natjerao
 a,a,e,j,n,o,r,z ozarenja
 a,a,e,j,n,o,r,č očaranje
 a,a,e,j,n,o,s,t nestajao
 a,a,e,j,n,o,s,v jasenova
 a,a,e,j,n,o,s,z zasejano
 a,a,e,j,n,o,s,ć osećajan
 a,a,e,j,n,o,s,ć osećajna
 a,a,e,j,n,o,s,ć osećanja
 a,a,e,j,n,o,t,z otezanja
 a,a,e,j,n,o,t,z zatajeno
 a,a,e,j,n,o,v,z zavejano
 a,a,e,j,n,p,r,s snajpera
 a,a,e,j,n,p,r,ć praćenja
 a,a,e,j,n,p,r,č najpreča
 a,a,e,j,n,p,r,č parnjače
 a,a,e,j,n,p,s,s spasenja
 a,a,e,j,n,p,s,t stapanje
 a,a,e,j,n,p,s,t stjepana
 a,a,e,j,n,p,s,v spavanje
 a,a,e,j,n,p,t,u utapanje
 a,a,e,j,n,p,t,š tapšanje
 a,a,e,j,n,p,t,š šaptanje
 a,a,e,j,n,p,z,ž pejzažna
 a,a,e,j,n,r,r,z razjaren
 a,a,e,j,n,r,s,t nasrtaje
 a,a,e,j,n,r,s,t sretanja
 a,a,e,j,n,r,s,t staranje
 a,a,e,j,n,r,s,t starenja
 a,a,e,j,n,r,s,u rasejanu
 a,a,e,j,n,r,s,v sejravan
 a,a,e,j,n,r,s,z razjasne
 a,a,e,j,n,r,t,u nateraju
 a,a,e,j,n,r,t,v ravnajte
 a,a,e,j,n,r,t,ć traćenja
 a,a,e,j,n,r,t,š trešanja
 a,a,e,j,n,r,t,ž traženja
 a,a,e,j,n,r,u,đ naređaju
 a,a,e,j,n,r,v,v vranjeva
 a,a,e,j,n,r,v,z razvejan
 a,a,e,j,n,r,v,ć vraćanje
 a,a,e,j,n,r,v,č račvanje
 a,a,e,j,n,r,v,č vračanje
 a,a,e,j,n,r,v,đ vređanja
 a,a,e,j,n,r,z,č zračenja
 a,a,e,j,n,s,t,z saznajte
 a,a,e,j,n,s,t,z stezanja
 a,a,e,j,n,s,t,z zastenja
 a,a,e,j,n,s,t,č stečajna
 a,a,e,j,n,s,u,v usvajane
 a,a,e,j,n,s,u,z zasejanu
 a,a,e,j,n,s,u,đ nasađuje
 a,a,e,j,n,s,v,đ svađanje
 a,a,e,j,n,s,z,š saznaješ
 a,a,e,j,n,t,u,č natečaju
 a,a,e,j,n,u,v,z avanzuje
